domain,index,runtime,coalitions,agents
drinks,SI,1.4823319912,3357,413
drinks,HA,0.773254871368,3357,413
drinks,GR,3.01227807999,3357,413
food,SI,54.2620179653,21356,300
food,HA,56.0362780094,21356,300
food,GR,63.3465261459,21356,300
perfumes,SI,15.5644409657,10611,365
perfumes,HA,11.5555069447,10611,365
perfumes,GR,27.2625639439,10611,365
movies_score,SI,0.352698087692,371,3965
movies_score,HA,0.128933906555,371,3965
movies_score,GR,0.470247030258,371,3965
movies_gross,SI,0.178871154785,322,3497
movies_gross,HA,0.0859529972076,322,3497
movies_gross,GR,0.248375892639,322,3497
papers,SI,13.2279701233,1112,645
papers,HA,4.86497282982,1112,645
papers,GR,15.6875901222,1112,645
bball,SI,8.84217500687,9037,300
bball,HA,7.59783411026,9037,300
bball,GR,13.3117351532,9037,300
random,SI,2042.73182583,49996,3000
random,HA,270.470607042,49996,3000
random,GR,4087.62330699,49996,3000
